anchor_id,monthly_sales_avg_alltime_jpy,n_months_alltime,monthly_sales_avg_l6m_jpy,n_months_l6m,l6m_first_month,l6m_last_month,sales_2025_local,ebitda_2025_local,ebitda_margin_2025
gc_1462,4949583.116279069,43,6008677.666666667,6,2025-07-01,2025-12-01,70961030.0,9304255.0,0.13111781212871346
gc_1463,5061989.175,40,7032912.833333333,6,2025-07-01,2025-12-01,79492628.0,17310472.0082,0.21776197923913146
gc_1464,5303351.6,40,7883025.166666667,6,2025-07-01,2025-12-01,86871171.0,9337997.0,0.10749247296321124
gc_1465,7406940.2,40,9498060.333333334,6,2025-07-01,2025-12-01,107683533.0,13070413.0,0.12137801050788331
gc_1466,2070177.5,8,2118410.1666666665,6,2022-12-01,2023-05-01,0.0,0.0,
gc_1467,7515538.538461538,39,10162218.5,6,2025-07-01,2025-12-01,117099088.0,18003187.0,0.15374318713737548
gc_1468,10855674.307692308,39,14416494.333333334,6,2025-07-01,2025-12-01,163046226.0,34849078.0,0.21373740965951582
gc_1469,8798224.41025641,39,11195080.5,6,2025-07-01,2025-12-01,117190911.0,3975600.0699999994,0.03392413316080459
gc_1470,5392179.58974359,39,7487029.5,6,2025-07-01,2025-12-01,82049968.0,14635197.0,0.17836932002216016
gc_1471,1716567.5128205128,39,1953228.6666666667,6,2025-07-01,2025-12-01,21871558.0,-703816.0,-0.032179509114074085
gc_1472,10027576.236842105,38,12647519.833333334,6,2025-07-01,2025-12-01,146794572.0,23058791.0,0.15708204115340177
gc_1473,4753473.47368421,38,6795292.833333333,6,2025-07-01,2025-12-01,74051916.0,9773131.0,0.1319767472323066
gc_1474,6852096.945945946,37,8814160.0,6,2025-07-01,2025-12-01,102470281.0,11073521.0,0.10806568394205926
gc_1475,4516447.44117647,34,5407503.666666667,6,2025-07-01,2025-12-01,62513213.0,11605610.042909998,0.1856505126829747
gc_1476,6423923.0,33,7180219.0,6,2025-07-01,2025-12-01,84645236.0,3416529.104000001,0.04036292253943271
gc_1477,7494431.878787879,33,8414817.0,6,2025-07-01,2025-12-01,96118616.0,9220175.0,0.09592496629373023
gc_1478,7001805.1875,32,8817547.0,6,2025-07-01,2025-12-01,100505266.0,16660849.0,0.16577090597422028
gc_1479,6188358.28125,32,8710764.5,6,2025-07-01,2025-12-01,94645405.0,19813988.0,0.20934970905349287
gc_1480,9794023.78125,32,13791326.166666666,6,2025-07-01,2025-12-01,149363135.0,34653829.0,0.23201058949385336
gc_1481,6799621.645161291,31,8168149.833333333,6,2025-07-01,2025-12-01,92403424.0,17920249.0,0.1939349022391205
gc_1482,6608145.379310345,29,7214630.833333333,6,2025-07-01,2025-12-01,83920117.0,11376922.395,0.13556847632850655
gc_1483,12873960.48275862,29,16203718.333333334,6,2025-07-01,2025-12-01,181932404.0,56349380.0,0.30972701267664227
gc_1484,7733539.857142857,28,9125091.166666666,6,2025-07-01,2025-12-01,107920483.0,19595332.0,0.18157194496618403
gc_1485,7435841.407407408,27,8559377.0,6,2025-07-01,2025-12-01,97226552.0,26431703.0,0.27185683803741184
gc_1486,7157757.333333333,27,8488805.166666666,6,2025-07-01,2025-12-01,94968942.0,17906449.745,0.18855058683290377
gc_1487,8385731.37037037,27,9784867.833333334,6,2025-07-01,2025-12-01,111965219.0,12503502.0,0.11167309019419683
gc_1488,8131457.407407408,27,9372094.666666666,6,2025-07-01,2025-12-01,106903065.0,17593795.0,0.16457708672805593
gc_1489,11525681.370370371,27,13660702.833333334,6,2025-07-01,2025-12-01,153063427.0,19328708.620000005,0.12627907919505818
gc_1490,8085693.32,25,9859462.666666666,6,2025-07-01,2025-12-01,110235841.0,21788464.0,0.19765317524996248
gc_1491,10839971.68,25,11097119.166666666,6,2025-07-01,2025-12-01,137489992.0,22243678.0,0.16178397915682474
gc_1492,6768908.52,25,7862317.833333333,6,2025-07-01,2025-12-01,90837897.0,12960971.46,0.14268242537583187
gc_1493,4439881.125,24,5209460.666666667,6,2025-07-01,2025-12-01,52984277.0,4762683.0,0.0898886097851255
gc_1494,10859597.0,23,12227020.0,6,2025-07-01,2025-12-01,140877830.0,28004062.0,0.19878260475761161
gc_1495,8840037.695652174,23,10359249.5,6,2025-07-01,2025-12-01,117561500.0,15206652.955999998,0.1293506203646602
gc_1496,9126431.52173913,23,10858210.333333334,6,2025-07-01,2025-12-01,123363266.0,13644594.0,0.11060499970874636
gc_1497,10640070.227272727,22,11968765.833333334,6,2025-07-01,2025-12-01,138951720.0,15027779.0,0.10815108298047696
gc_1498,11281800.863636363,22,13257513.166666666,6,2025-07-01,2025-12-01,148196929.0,35333950.0,0.23842565590546078
gc_1499,10682000.666666666,21,13072802.333333334,6,2025-07-01,2025-12-01,142016099.0,33093130.53,0.23302379633734344
gc_1500,8310820.523809524,21,9574214.0,6,2025-07-01,2025-12-01,108784464.0,17521725.0,0.16106826614506278
gc_1501,7067519.4,20,8364989.833333333,6,2025-07-01,2025-12-01,94555979.0,15742093.23,0.16648437673095215
gc_1502,7002679.25,20,7919339.0,6,2025-07-01,2025-12-01,89532900.0,16247215.0,0.1814664218404631
gc_1503,5175348.684210527,19,5654308.666666667,6,2025-07-01,2025-12-01,64905660.0,6215998.0,0.09576973718470777
gc_1504,6099762.2105263155,19,7279296.0,6,2025-07-01,2025-12-01,77335164.0,11186174.0,0.14464537761890567
gc_1505,7548217.052631579,19,8825304.666666666,6,2025-07-01,2025-12-01,94453880.0,14948028.560000002,0.158257432728015
gc_1506,8020601.529411765,17,8607295.833333334,6,2025-07-01,2025-12-01,98911706.0,13625482.629999999,0.13775399475973046
